title,text,subject,date,label
This simple trick can generate infinite electricity at home!!! MUST SEE [VIDEO 2],"A shocking new video circulating online shows what conspiracy theorists claim is an alien spacecraft hovering directly over the Capitol building. Eyewitnesses reported bright green flashing lights and unusual static on their mobile devices. Officials have refused to comment, fueling rumors of a massive government cover-up. This is a 100% real secret conspiracy that they do not want you to know about!!!",world,2023-02-15,1
SHOCKING: Aliens landed in Washington DC last night!!!! MUST SEE [VIDEO 2],"An anonymous hacker group has released what they claim is an unredacted video proving that the election was completely rigged by an advanced AI algorithm. The video, which has already been banned on major social networks, shows simulated voting statistics being altered in real time. Absolute proof inside! This is a 100% real secret conspiracy that they do not want you to know about!!!",world,2023-04-17,1
BREAKING: World leaders secretly meeting to plan global shutdown!!! MUST SEE [VIDEO 2],High-ranking sources report that world elites are currently meeting in an undisclosed bunker in Switzerland to execute a global lockdown protocol. The plan involves turning off the internet and replacing paper money with a trackable digital currency. Prepare your family immediately! This is a 100% real secret conspiracy that they do not want you to know about!!!,health,2023-08-21,1
Senate passes bipartisan infrastructure bill (Report #160),"A comprehensive study published in the Journal of Medicine reveals that individuals following a Mediterranean diet experience a significant reduction in cardiovascular risks. Researchers monitored over five thousand participants over five years, confirming that olive oil, nuts, and fresh vegetables contribute to arterial longevity. Statistics from official census indicate a 5% margin of error.",health,2023-01-25,0
ALERT: This common kitchen ingredient is slowly poisoning you!!!! MUST SEE [VIDEO 6],"A secret whistleblower from a major pharmaceutical company has leaked files detailing a secret ingredient in everyday foods that is designed to make people sick. According to the document, the FDA has known about this for years but is being paid off by large corporations. Share this warning before it is deleted! This is a 100% real secret conspiracy that they do not want you to know about!!!",politics,2023-05-12,1
Federal Reserve holds interest rates steady (Report #564),"The city council voted unanimously to approve the development of a new fifty-acre public park in the downtown district. The project will feature walking paths, community gardens, and solar-powered lighting. Construction is scheduled to begin early next spring, with completion expected within eighteen months. Statistics from official census indicate a 7% margin of error.",tech,2023-05-11,0
Federal Reserve holds interest rates steady (Report #993),"A comprehensive study published in the Journal of Medicine reveals that individuals following a Mediterranean diet experience a significant reduction in cardiovascular risks. Researchers monitored over five thousand participants over five years, confirming that olive oil, nuts, and fresh vegetables contribute to arterial longevity. Statistics from official census indicate a 6% margin of error.",politics,2023-06-10,0
Leaked video shows secret underground city beneath the pyramids!!! MUST SEE [VIDEO 4],"A secret whistleblower from a major pharmaceutical company has leaked files detailing a secret ingredient in everyday foods that is designed to make people sick. According to the document, the FDA has known about this for years but is being paid off by large corporations. Share this warning before it is deleted! This is a 100% real secret conspiracy that they do not want you to know about!!!",tech,2023-07-26,1
Government is using cellular towers to control minds!!! MUST SEE [VIDEO 4],"A brilliant independent researcher has bypassed mainstream medical institutions to create an all-natural herbal pill that cures cancer, diabetes, and heart disease overnight. Big Pharma is currently trying to arrest the scientist to keep their multi-billion dollar treatment business alive. Click here to buy now! This is a 100% real secret conspiracy that they do not want you to know about!!!",science,2023-08-25,1
Scientists confirm the Earth is actually expanding every day!!! MUST SEE [VIDEO 3],High-ranking sources report that world elites are currently meeting in an undisclosed bunker in Switzerland to execute a global lockdown protocol. The plan involves turning off the internet and replacing paper money with a trackable digital currency. Prepare your family immediately! This is a 100% real secret conspiracy that they do not want you to know about!!!,health,2023-03-12,1
SHOCKING: Aliens landed in Washington DC last night!!!! MUST SEE [VIDEO 4],"A secret whistleblower from a major pharmaceutical company has leaked files detailing a secret ingredient in everyday foods that is designed to make people sick. According to the document, the FDA has known about this for years but is being paid off by large corporations. Share this warning before it is deleted! This is a 100% real secret conspiracy that they do not want you to know about!!!",tech,2023-06-10,1
World health officials monitor new flu strain (Report #730),"In its monthly meeting, the Federal Reserve decided to keep current interest rates unchanged. The chairman noted that while inflation shows signs of slowing, the labor market remains exceptionally strong. Market analysts predict that rate cuts may not occur until the next fiscal quarter. Statistics from official census indicate a 5% margin of error.",science,2023-01-17,0
Mars rover discovers signs of ancient water (Report #967),"The Senate today voted in favor of a major infrastructure package, marking a rare moment of bipartisan cooperation. Spokespersons from both parties stated that this bill will fund critical upgrades to roads, bridges, and public transit systems over the next decade. Economists suggest this will create thousands of jobs across the nation. Statistics from official census indicate a 10% margin of error.",tech,2023-09-11,0
ALERT: This common kitchen ingredient is slowly poisoning you!!!! MUST SEE [VIDEO 3],"An anonymous hacker group has released what they claim is an unredacted video proving that the election was completely rigged by an advanced AI algorithm. The video, which has already been banned on major social networks, shows simulated voting statistics being altered in real time. Absolute proof inside! This is a 100% real secret conspiracy that they do not want you to know about!!!",politics,2023-09-16,1
World health officials monitor new flu strain (Report #612),"The Senate today voted in favor of a major infrastructure package, marking a rare moment of bipartisan cooperation. Spokespersons from both parties stated that this bill will fund critical upgrades to roads, bridges, and public transit systems over the next decade. Economists suggest this will create thousands of jobs across the nation. Statistics from official census indicate a 4% margin of error.",world,2023-06-25,0
Scientists confirm the Earth is actually expanding every day!!! MUST SEE [VIDEO 9],High-ranking sources report that world elites are currently meeting in an undisclosed bunker in Switzerland to execute a global lockdown protocol. The plan involves turning off the internet and replacing paper money with a trackable digital currency. Prepare your family immediately! This is a 100% real secret conspiracy that they do not want you to know about!!!,science,2023-07-16,1
World health officials monitor new flu strain (Report #866),"The Senate today voted in favor of a major infrastructure package, marking a rare moment of bipartisan cooperation. Spokespersons from both parties stated that this bill will fund critical upgrades to roads, bridges, and public transit systems over the next decade. Economists suggest this will create thousands of jobs across the nation. Statistics from official census indicate a 1% margin of error.",health,2023-01-21,0
SHOCKING: Aliens landed in Washington DC last night!!!! MUST SEE [VIDEO 2],"A shocking new video circulating online shows what conspiracy theorists claim is an alien spacecraft hovering directly over the Capitol building. Eyewitnesses reported bright green flashing lights and unusual static on their mobile devices. Officials have refused to comment, fueling rumors of a massive government cover-up. This is a 100% real secret conspiracy that they do not want you to know about!!!",politics,2023-06-12,1
Local council approves new public park construction (Report #111),"The city council voted unanimously to approve the development of a new fifty-acre public park in the downtown district. The project will feature walking paths, community gardens, and solar-powered lighting. Construction is scheduled to begin early next spring, with completion expected within eighteen months. Statistics from official census indicate a 3% margin of error.",world,2023-08-16,0
Senate passes bipartisan infrastructure bill (Report #935),"A comprehensive study published in the Journal of Medicine reveals that individuals following a Mediterranean diet experience a significant reduction in cardiovascular risks. Researchers monitored over five thousand participants over five years, confirming that olive oil, nuts, and fresh vegetables contribute to arterial longevity. Statistics from official census indicate a 3% margin of error.",politics,2023-02-16,0
National library archives historic letters from the 18th century (Report #809),"Delegates at the climate summit have officially signed an agreement pledging to reduce carbon emissions by thirty percent by the end of the decade. The agreement comes after weeks of intense negotiations. Environmental advocates called the treaty a step in the right direction, though some warn that stricter enforcement is necessary. Statistics from official census indicate a 7% margin of error.",science,2023-08-17,0
Global climate summit reaches historic agreement (Report #448),"Delegates at the climate summit have officially signed an agreement pledging to reduce carbon emissions by thirty percent by the end of the decade. The agreement comes after weeks of intense negotiations. Environmental advocates called the treaty a step in the right direction, though some warn that stricter enforcement is necessary. Statistics from official census indicate a 10% margin of error.",health,2023-08-19,0
Mayor announces new initiatives for urban housing (Report #868),"A comprehensive study published in the Journal of Medicine reveals that individuals following a Mediterranean diet experience a significant reduction in cardiovascular risks. Researchers monitored over five thousand participants over five years, confirming that olive oil, nuts, and fresh vegetables contribute to arterial longevity. Statistics from official census indicate a 6% margin of error.",health,2023-02-11,0
Leaked video shows secret underground city beneath the pyramids!!! MUST SEE [VIDEO 6],"An anonymous hacker group has released what they claim is an unredacted video proving that the election was completely rigged by an advanced AI algorithm. The video, which has already been banned on major social networks, shows simulated voting statistics being altered in real time. Absolute proof inside! This is a 100% real secret conspiracy that they do not want you to know about!!!",politics,2023-08-18,1
Global climate summit reaches historic agreement (Report #132),"The city council voted unanimously to approve the development of a new fifty-acre public park in the downtown district. The project will feature walking paths, community gardens, and solar-powered lighting. Construction is scheduled to begin early next spring, with completion expected within eighteen months. Statistics from official census indicate a 4% margin of error.",tech,2023-08-14,0
Scientists confirm the Earth is actually expanding every day!!! MUST SEE [VIDEO 7],"A brilliant independent researcher has bypassed mainstream medical institutions to create an all-natural herbal pill that cures cancer, diabetes, and heart disease overnight. Big Pharma is currently trying to arrest the scientist to keep their multi-billion dollar treatment business alive. Click here to buy now! This is a 100% real secret conspiracy that they do not want you to know about!!!",science,2023-09-14,1
Local council approves new public park construction (Report #423),"Delegates at the climate summit have officially signed an agreement pledging to reduce carbon emissions by thirty percent by the end of the decade. The agreement comes after weeks of intense negotiations. Environmental advocates called the treaty a step in the right direction, though some warn that stricter enforcement is necessary. Statistics from official census indicate a 2% margin of error.",world,2023-07-18,0
SHOCKING: Aliens landed in Washington DC last night!!!! MUST SEE [VIDEO 4],"A secret whistleblower from a major pharmaceutical company has leaked files detailing a secret ingredient in everyday foods that is designed to make people sick. According to the document, the FDA has known about this for years but is being paid off by large corporations. Share this warning before it is deleted! This is a 100% real secret conspiracy that they do not want you to know about!!!",science,2023-02-28,1
This simple trick can generate infinite electricity at home!!! MUST SEE [VIDEO 7],"A brilliant independent researcher has bypassed mainstream medical institutions to create an all-natural herbal pill that cures cancer, diabetes, and heart disease overnight. Big Pharma is currently trying to arrest the scientist to keep their multi-billion dollar treatment business alive. Click here to buy now! This is a 100% real secret conspiracy that they do not want you to know about!!!",tech,2023-01-25,1
Leaked video shows secret underground city beneath the pyramids!!! MUST SEE [VIDEO 7],High-ranking sources report that world elites are currently meeting in an undisclosed bunker in Switzerland to execute a global lockdown protocol. The plan involves turning off the internet and replacing paper money with a trackable digital currency. Prepare your family immediately! This is a 100% real secret conspiracy that they do not want you to know about!!!,politics,2023-06-17,1
Secret government document leaks online proving election fraud!!! MUST SEE [VIDEO 6],"A shocking new video circulating online shows what conspiracy theorists claim is an alien spacecraft hovering directly over the Capitol building. Eyewitnesses reported bright green flashing lights and unusual static on their mobile devices. Officials have refused to comment, fueling rumors of a massive government cover-up. This is a 100% real secret conspiracy that they do not want you to know about!!!",world,2023-09-19,1
Local council approves new public park construction (Report #504),"The city council voted unanimously to approve the development of a new fifty-acre public park in the downtown district. The project will feature walking paths, community gardens, and solar-powered lighting. Construction is scheduled to begin early next spring, with completion expected within eighteen months. Statistics from official census indicate a 5% margin of error.",world,2023-06-14,0
